Payment type,No earnings,Had earnings,No earnings rate
ABSTUDY 1,5580,1905,0.745490982
Age Pension,2497830,85165,0.967028585
Austudy,12155,8665,0.583813641
Carer Payment,275625,31360,0.897845172
Disability Pension,731735,57045,0.927679454
JobSeeker Payment,648390,158325,0.803741098
Parenting Pay 1,49720,7965,0.86192251
Parenting Pay 2,194785,114585,0.629618256
Special Benefit,6360,205,0.9687738
Youth Allowance 1,70540,14965,0.824980995
Youth Allowance 2,64960,56890,0.533114485
